structure,max_depth,score_support,min_samples_split,min_bin_exp,d,cohen,random_proj_exp,random_proj_depth,Weight-,Acceleration+,Mpg+,N+
12,5,3,17,0.659389249012037,1,0.839299670887046,0.631718045944139,2,2234,16.1,30,203
15,5,4,19,0.795758794845666,1,1.05755323846338,0.681830835101161,4,2234,16.1,30,203
27,4,4,39,0.169057464903513,2,0.693414752721592,0.314817750774598,3,2234,16.1,30,203
22,5,4,35,0.274054342249523,1,0.626366331036016,0.412170856427081,2,2234,16.1,30,203
1,3,4,29,0.420258781191092,4,0.949729893308676,0.687222691610599,3,2234,16.1,30,203
2,2,4,23,0.565790526554101,3,0.673871564620115,0.536397799711964,4,2228,15.8,30,121
29,5,2,31,0.829437435724158,2,1.40419692646589,0.486630028004519,4,2155,16.4,30,79
26,3,4,42,0.467981262180602,2,0.318131887873644,0.636337017214408,5,2234,16.1,30,203
30,3,2,9,0.813526356799195,2,0.360953407548608,0.4614862409193,5,2155,15.8,30,104
4,5,4,21,0.44984002581787,4,0.57305863905572,0.457120313518813,4,2155,16.4,30,79
24,4,1,35,0.615050550545019,3,0.120134008395601,0.381161124697526,3,2234,16.1,30,203
21,3,2,7,0.751963974582153,1,0.798943783717823,0.367383484768173,5,2155,16.4,30,79
17,2,4,8,0.346507425915008,2,0.861004320144419,0.441692014935422,2,2234,16.1,30,203
1,3,4,9,0.741836029160558,1,1.15479382687345,0.649915949478161,2,2234,16.1,30,203
10,5,2,13,0.60393915038625,1,0.99713118859416,0.666262478475701,3,2234,16.1,30,203
17,3,4,17,0.195934783282699,3,0.849175073173147,0.619500210345477,2,2234,16.1,30,203
12,2,2,38,0.881604694080999,3,1.34939316624992,0.526236826609516,4,2155,16.4,30,79
1,5,3,19,0.393553811766203,2,1.16831420791456,0.475379263052885,5,2711,15.5,20,365
9,4,1,11,0.801524567368232,3,1.42636566944767,0.338690518480017,3,2234,16.1,30,203
13,4,4,20,0.602794375577438,2,0.158376315905382,0.359211833995784,4,1990,19,30,25
5,5,2,15,0.864162546242808,2,1.47062764805684,0.41598962471496,3,2155,16.4,30,79
4,2,3,46,0.229762828623455,1,0.178415208458679,0.58153608678743,4,2234,16.1,30,203
1,3,4,49,0.525835061262149,3,1.21061681185375,0.598824701471918,5,2110,16.4,30,123
23,5,4,28,0.60698373265828,4,0.666834583917728,0.690327829120502,2,2234,16.1,30,203
12,2,1,44,0.565912919977704,2,0.828211873318137,0.457026693782322,3,2234,16.1,30,203
4,4,4,9,0.45169877727,1,1.26702763535335,0.371397576572422,5,2130,16.4,30,144
26,3,3,13,0.390352960900498,2,1.43108661593599,0.303597334618642,2,2234,16.1,30,203
21,5,1,13,0.461474725705805,1,0.758839931249737,0.300194094084341,5,1990,15.3,30,15
31,4,1,30,0.736951812363257,1,0.81196905345757,0.692639768954122,4,2234,16.1,30,203
25,4,4,46,0.229604143536781,2,1.05786119757161,0.612580068381912,5,2223,16,30,195
22,3,1,24,0.241834832505989,4,0.974008333929477,0.530891383343424,2,2234,16.1,30,203
20,5,1,12,0.202151413191119,4,0.982463599265244,0.502454315289635,5,2051,17,30,99
20,5,3,43,0.891847458308156,3,1.338382949599,0.568155436262985,3,2155,16.4,30,79
31,3,1,12,0.425909915965974,3,1.49833719871025,0.435265580447104,4,2155,16.4,30,79
25,2,2,39,0.697718021057097,3,0.578575934231463,0.41504195566931,3,2155,16.4,30,79
13,5,4,28,0.485190159190712,3,0.768905866071684,0.326169985213955,3,2155,16.4,30,79
27,3,4,37,0.551861034057569,1,1.40824729249281,0.592577562520953,5,2155,16.4,30,79
12,3,2,27,0.341600227724563,3,0.748301587699944,0.307968725021483,3,2234,16.1,30,203
16,2,2,18,0.597337584263009,1,0.122566848135009,0.481034021320015,4,2225.5,15.7,30,100
22,4,2,31,0.455924213974184,4,1.43292119440234,0.645178571274452,3,2234,16.1,30,203
24,4,4,13,0.364945026400207,3,1.32345188450271,0.569934214126512,4,2600,16,30,323
31,3,3,49,0.637934376885453,3,1.45922983074523,0.396685293076053,4,2155,16.4,30,79
13,3,1,28,0.440971081515397,4,1.12045827346295,0.389241697899895,2,2234,16.1,30,203
25,4,2,30,0.574389045773359,2,0.778881683243528,0.503126351885603,4,2155,16.4,30,79
23,2,2,17,0.880376897950988,4,1.32215793625985,0.551211184403023,2,2155,16.4,30,79
20,2,1,29,0.336868169272814,1,0.885238459910065,0.582885897999079,5,2234,16.1,30,203
4,3,1,41,0.202276662801449,1,0.393694394895878,0.566500225329855,3,2234,16.1,30,203
27,5,2,10,0.876379081850039,4,0.881534211099091,0.451438549903149,2,2155,16.4,30,79
28,3,1,41,0.757327950119064,3,0.823074800633063,0.662204523301635,4,2234,16.1,30,203
10,4,2,47,0.888051989269401,3,0.169135884397897,0.398211456955004,4,2155,16.4,30,79
23,3,3,46,0.124072362547091,1,0.171617770042476,0.366723767187728,5,2135,16.4,30,75
3,3,4,16,0.540170409688867,3,1.20414911366399,0.334757474008447,5,2070,16.4,30,109
30,3,1,35,0.726601040079537,3,0.970551981931889,0.479870312615374,3,2234,16.1,30,203
30,4,3,23,0.34169805719241,2,0.885741699378846,0.49267965224129,5,2229,16,30,156
2,3,3,8,0.739374040765413,3,1.22001686392327,0.443202931327723,3,2155,16.4,30,79
3,5,1,29,0.177487756627293,1,0.539073058016447,0.634973966525302,3,2234,16.1,30,203
1,2,1,8,0.783708719922668,3,0.653175058661052,0.623652816686394,2,2234,16.1,30,203
18,5,3,13,0.893120712530843,2,1.36774803826919,0.369163569205951,2,2155,16.4,30,79
2,4,1,14,0.342957644685489,1,0.424447485584597,0.329261877756138,5,1950,19,30,23
4,5,2,6,0.538311394826668,4,0.451639468461492,0.696067203817955,2,2234,16.1,30,203
25,3,2,24,0.61040195558706,1,0.543226337300632,0.57764537447576,4,2155,16.4,30,79
5,4,3,26,0.181206002213162,2,1.25377655921313,0.398621459728651,3,2234,16.1,30,203
25,5,1,29,0.392118596980792,3,0.220578610617738,0.616354732959458,5,2234,16.1,30,203
16,4,1,46,0.569714116320156,1,1.25375164376736,0.576429060141801,5,2234,16.1,30,203
8,4,3,49,0.741666194394215,1,1.47046099806541,0.312261722180983,4,2220,16,30,191
16,2,3,25,0.79991637499545,2,0.554373072496183,0.675006340311082,2,2234,16.1,30,203
24,2,3,26,0.13387252323092,2,1.46574245897853,0.315272072501784,5,2720,15.5,20,367
9,5,3,14,0.857035593210115,4,1.19240195306271,0.409786955273489,3,2155,16.4,30,79
